Cd mon;Mon dest;Fecha efectiva;Tipo cambio
USD;COP;06/07/2023;4128,08
USD;COP;05/07/2023;4177,58
USD;COP;04/07/2023;4177,58
USD;COP;03/07/2023;4177,58
USD;COP;02/07/2023;4177,58
USD;COP;01/07/2023;4177,58
USD;COP;30/06/2023;4191,28
USD;COP;29/06/2023;4169,6
USD;COP;28/06/2023;4152,48
USD;COP;27/06/2023;4172,33
USD;COP;26/06/2023;4168,88
USD;COP;25/06/2023;4168,88
USD;COP;24/06/2023;4168,88
USD;COP;23/06/2023;4114,39
USD;COP;22/06/2023;4158,21
USD;COP;21/06/2023;4149,18
USD;COP;20/06/2023;4145,72
USD;COP;19/06/2023;4145,72
USD;COP;18/06/2023;4145,72
USD;COP;17/06/2023;4145,72
USD;COP;16/06/2023;4164,66
USD;COP;15/06/2023;4182,33
USD;COP;14/06/2023;4186,3
USD;COP;13/06/2023;4173,66
USD;COP;12/06/2023;4173,66
USD;COP;11/06/2023;4173,66
USD;COP;10/06/2023;4173,66
USD;COP;09/06/2023;4179,98
USD;COP;08/06/2023;4209,14
USD;COP;07/06/2023;4245
USD;COP;06/06/2023;4307,02
USD;COP;05/06/2023;4355,8
USD;COP;04/06/2023;4355,8
USD;COP;03/06/2023;4355,8
USD;COP;02/06/2023;4410,49
USD;COP;01/06/2023;4434,09
USD;COP;31/05/2023;4408,65
USD;COP;30/05/2023;4461,66
USD;COP;29/05/2023;4461,66
USD;COP;28/05/2023;4461,66
USD;COP;27/05/2023;4461,66
USD;COP;26/05/2023;4470,83
USD;COP;25/05/2023;4448,93
USD;COP;24/05/2023;4501,81
USD;COP;23/05/2023;4528,67
USD;COP;22/05/2023;4528,67
USD;COP;21/05/2023;4528,67
USD;COP;20/05/2023;4528,67
USD;COP;19/05/2023;4521,64
USD;COP;18/05/2023;4528,3
USD;COP;17/05/2023;4531,58
USD;COP;16/05/2023;4506,49
USD;COP;15/05/2023;4564,44
USD;COP;14/05/2023;4564,44
USD;COP;13/05/2023;4564,44
USD;COP;12/05/2023;4601,15
USD;COP;11/05/2023;4545,39
USD;COP;10/05/2023;4540,34
USD;COP;09/05/2023;4490,58
USD;COP;08/05/2023;4552,56
USD;COP;07/05/2023;4552,56
USD;COP;06/05/2023;4552,56
USD;COP;05/05/2023;4616,58
USD;COP;04/05/2023;4667,09
USD;COP;03/05/2023;4713,08
USD;COP;02/05/2023;4669
USD;COP;01/05/2023;4669
USD;COP;30/04/2023;4669
USD;COP;29/04/2023;4669
USD;COP;28/04/2023;4654,14
USD;COP;27/04/2023;4552,59
USD;COP;26/04/2023;4486,6
USD;COP;25/04/2023;4482,45
USD;COP;24/04/2023;4523,64
USD;COP;23/04/2023;4523,64
USD;COP;22/04/2023;4523,64
USD;COP;21/04/2023;4535,78
USD;COP;20/04/2023;4532,43
USD;COP;19/04/2023;4473,07
USD;COP;18/04/2023;4431,45
USD;COP;17/04/2023;4425,27
USD;COP;16/04/2023;4425,27
USD;COP;15/04/2023;4425,27
USD;COP;14/04/2023;4424,02
USD;COP;13/04/2023;4458,87
USD;COP;12/04/2023;4516,76
USD;COP;11/04/2023;4564,24
USD;COP;10/04/2023;4570,91
USD;COP;09/04/2023;4570,91
USD;COP;08/04/2023;4570,91
USD;COP;07/04/2023;4570,91
USD;COP;06/04/2023;4570,91
USD;COP;05/04/2023;4587,31
USD;COP;04/04/2023;4603
USD;COP;03/04/2023;4646,08
USD;COP;02/04/2023;4646,08
USD;COP;01/04/2023;4646,08
USD;COP;31/03/2023;4627,27
USD;COP;30/03/2023;4627,63
USD;COP;29/03/2023;4658,79
USD;COP;28/03/2023;4686,83
USD;COP;27/03/2023;4741,76
USD;COP;26/03/2023;4741,76
USD;COP;25/03/2023;4741,76
USD;COP;24/03/2023;4755,12
USD;COP;23/03/2023;4776,09
USD;COP;22/03/2023;4804,29
USD;COP;21/03/2023;4824,25
USD;COP;20/03/2023;4824,25
USD;COP;19/03/2023;4824,25
USD;COP;18/03/2023;4824,25
USD;COP;17/03/2023;4866,5
USD;COP;16/03/2023;4835,51
USD;COP;15/03/2023;4736,03
USD;COP;14/03/2023;4769,76
USD;COP;13/03/2023;4748,14
USD;COP;12/03/2023;4748,14
USD;COP;11/03/2023;4748,14
USD;COP;10/03/2023;4748,61
USD;COP;09/03/2023;4755,59
USD;COP;08/03/2023;4744,95
USD;COP;07/03/2023;4734,42
USD;COP;06/03/2023;4780,89
USD;COP;05/03/2023;4780,89
USD;COP;04/03/2023;4780,89
USD;COP;03/03/2023;4855,83
USD;COP;02/03/2023;4848,78
USD;COP;01/03/2023;4814,11
USD;COP;28/02/2023;4808,14
USD;COP;27/02/2023;4849,65
USD;COP;26/02/2023;4849,65
USD;COP;25/02/2023;4849,65
USD;COP;24/02/2023;4853,9
USD;COP;23/02/2023;4924,91
USD;COP;22/02/2023;4950,33
USD;COP;21/02/2023;4918,94
USD;COP;20/02/2023;4918,94
USD;COP;19/02/2023;4918,94
USD;COP;18/02/2023;4918,94
USD;COP;17/02/2023;4966,33
USD;COP;16/02/2023;4878,24
USD;COP;15/02/2023;4783,24
USD;COP;14/02/2023;4818,62
USD;COP;13/02/2023;4777,73
USD;COP;12/02/2023;4777,73
USD;COP;11/02/2023;4777,73
USD;COP;10/02/2023;4742,05
USD;COP;09/02/2023;4769,85
USD;COP;08/02/2023;4775,99
USD;COP;07/02/2023;4776,25
USD;COP;06/02/2023;4669,74
USD;COP;05/02/2023;4669,74
USD;COP;04/02/2023;4669,74
USD;COP;03/02/2023;4584,44
USD;COP;02/02/2023;4639,04
USD;COP;01/02/2023;4648,7
USD;COP;31/01/2023;4632,2
USD;COP;30/01/2023;4548,5
USD;COP;29/01/2023;4548,5
USD;COP;28/01/2023;4548,5
USD;COP;27/01/2023;4531,75
USD;COP;26/01/2023;4538,91
USD;COP;25/01/2023;4545,94
USD;COP;24/01/2023;4551,02
USD;COP;23/01/2023;4631,64
USD;COP;22/01/2023;4631,64
USD;COP;21/01/2023;4631,64
USD;COP;20/01/2023;4683,85
USD;COP;19/01/2023;4702,67
USD;COP;18/01/2023;4691,09
USD;COP;17/01/2023;4693,99
USD;COP;16/01/2023;4693,99
USD;COP;15/01/2023;4693,99
USD;COP;14/01/2023;4693,99
USD;COP;13/01/2023;4692,04
USD;COP;12/01/2023;4748,54
USD;COP;11/01/2023;4807,85
USD;COP;10/01/2023;4885,66
USD;COP;09/01/2023;4885,66
USD;COP;08/01/2023;4885,66
USD;COP;07/01/2023;4885,66
USD;COP;06/01/2023;4989,58
USD;COP;05/01/2023;4924
USD;COP;04/01/2023;4842,26
USD;COP;03/01/2023;4810,2
USD;COP;02/01/2023;4810,2
USD;COP;01/01/2023;4810,2
